count_id,store_id,sku_id,count_timestamp,physical_quantity_counted,system_quantity_at_count,variance_units,variance_dollars,count_type,counted_by_employee_id
29,1,17,2024-11-01 00:00:00,36,36,0,0.0,spot,10001
30,1,77,2024-11-01 00:00:00,12,13,-1,-4.97,partial,10001
31,1,9,2024-11-15 00:00:00,54,56,-2,-8.06,full,10001
32,1,1,2024-11-15 00:00:00,55,56,-1,-12.18,spot,10001
33,1,38,2024-11-15 00:00:00,33,33,0,0.0,spot,10001
34,1,105,2024-11-15 00:00:00,24,23,1,13.14,full,10001
35,1,90,2024-11-15 00:00:00,35,36,-1,-11.58,spot,10001
36,1,69,2024-11-15 00:00:00,48,50,-2,-4.74,partial,10001
37,1,46,2024-11-15 00:00:00,18,19,-1,-2.53,partial,10001
38,1,138,2024-11-15 00:00:00,31,32,-1,-1.9,partial,10001
39,1,5,2024-11-15 00:00:00,38,38,0,0.0,spot,10001
40,1,6,2024-11-15 00:00:00,8,8,0,0.0,spot,10001
41,1,43,2024-11-15 00:00:00,16,16,0,0.0,full,10001
42,1,154,2024-11-15 00:00:00,56,57,-1,-2.05,full,10001
43,1,87,2024-11-15 00:00:00,54,57,-3,-31.59,spot,10001
44,1,89,2024-11-15 00:00:00,33,33,0,0.0,spot,10001
45,1,22,2024-11-15 00:00:00,8,8,0,0.0,partial,10001
46,1,124,2024-11-15 00:00:00,11,11,0,0.0,partial,10001
47,1,88,2024-11-15 00:00:00,57,58,-1,-1.69,spot,10001
48,1,143,2024-11-15 00:00:00,59,58,1,15.32,spot,10001
49,1,120,2024-11-15 00:00:00,21,21,0,0.0,spot,10001
50,1,39,2024-11-15 00:00:00,56,56,0,0.0,spot,10001
51,1,84,2024-11-15 00:00:00,36,37,-1,-2.73,partial,10001
52,1,172,2024-11-15 00:00:00,14,14,0,0.0,partial,10001
53,1,8,2024-11-15 00:00:00,23,23,0,0.0,partial,10001
54,1,159,2024-11-15 00:00:00,29,29,0,0.0,spot,10001
55,1,194,2024-11-15 00:00:00,36,36,0,0.0,spot,10001
56,1,139,2024-11-15 00:00:00,54,55,-1,-11.66,partial,10001
57,1,183,2024-11-15 00:00:00,13,13,0,0.0,partial,10001
58,1,10,2024-11-15 00:00:00,46,46,0,0.0,partial,10001
59,1,35,2024-11-15 00:00:00,39,39,0,0.0,spot,10001
60,1,2,2024-11-15 00:00:00,16,16,0,0.0,spot,10001
61,1,144,2024-11-29 00:00:00,55,57,-2,-8.32,spot,10001
62,1,33,2024-11-29 00:00:00,33,33,0,0.0,spot,10001
63,1,122,2024-11-29 00:00:00,54,55,-1,-2.77,partial,10001
64,1,11,2024-11-29 00:00:00,47,48,-1,-3.36,spot,10001
65,1,119,2024-11-29 00:00:00,31,30,1,14.07,partial,10001
66,1,55,2024-11-29 00:00:00,37,37,0,0.0,spot,10001
67,1,68,2024-11-29 00:00:00,53,54,-1,-4.77,partial,10001
68,1,3,2024-11-29 00:00:00,19,20,-1,-6.98,partial,10001
69,1,197,2024-11-29 00:00:00,44,45,-1,-14.02,spot,10001
70,1,83,2024-11-29 00:00:00,38,38,0,0.0,partial,10001
71,1,160,2024-11-29 00:00:00,36,37,-1,-2.28,partial,10001
72,1,101,2024-11-29 00:00:00,27,28,-1,-10.04,partial,10001
73,1,182,2024-11-29 00:00:00,24,25,-1,-13.22,spot,10001
74,1,18,2024-11-29 00:00:00,51,53,-2,-14.28,spot,10001
75,1,49,2024-11-29 00:00:00,25,26,-1,-15.45,partial,10001
76,1,108,2024-11-29 00:00:00,53,54,-1,-14.52,spot,10001
77,1,72,2024-11-29 00:00:00,11,11,0,0.0,spot,10001
78,1,148,2024-11-29 00:00:00,19,20,-1,-1.19,spot,10001
79,1,16,2024-11-29 00:00:00,19,19,0,0.0,partial,10001
80,1,140,2024-11-29 00:00:00,32,32,0,0.0,partial,10001
81,1,112,2024-11-29 00:00:00,25,25,0,0.0,partial,10001
82,1,188,2024-11-29 00:00:00,44,46,-2,-34.14,full,10001
83,1,155,2024-11-29 00:00:00,14,15,-1,-17.21,partial,10001
84,1,32,2024-11-29 00:00:00,47,47,0,0.0,partial,10001
85,1,114,2024-11-29 00:00:00,24,26,-2,-7.7,partial,10001
86,1,51,2024-11-29 00:00:00,52,53,-1,-8.78,partial,10001
87,1,60,2024-11-29 00:00:00,35,35,0,0.0,spot,10001
88,1,61,2024-11-29 00:00:00,16,16,0,0.0,full,10001
89,1,17,2024-11-29 00:00:00,31,31,0,0.0,spot,10001
90,1,88,2024-11-29 00:00:00,49,51,-2,-3.38,full,10001
91,1,135,2024-12-13 00:00:00,54,54,0,0.0,partial,10001
92,1,35,2024-12-13 00:00:00,48,48,0,0.0,partial,10001
93,1,192,2024-12-13 00:00:00,29,29,0,0.0,spot,10001
94,1,58,2024-12-13 00:00:00,54,55,-1,-4.34,spot,10001
95,1,40,2024-12-13 00:00:00,20,20,0,0.0,spot,10001
96,1,76,2024-12-13 00:00:00,40,40,0,0.0,spot,10001
97,1,93,2024-12-13 00:00:00,44,45,-1,-5.16,spot,10001
98,1,195,2024-12-13 00:00:00,9,10,-1,-3.51,full,10001
99,1,29,2024-12-13 00:00:00,42,43,-1,-17.28,spot,10001
100,1,11,2024-12-13 00:00:00,39,39,0,0.0,partial,10001
101,1,75,2024-12-13 00:00:00,12,12,0,0.0,spot,10001
102,1,98,2024-12-13 00:00:00,57,58,-1,-14.06,partial,10001
103,1,119,2024-12-13 00:00:00,26,27,-1,-14.07,partial,10001
104,1,77,2024-12-13 00:00:00,20,20,0,0.0,partial,10001
105,1,121,2024-12-13 00:00:00,51,51,0,0.0,partial,10001
106,1,25,2024-12-13 00:00:00,33,33,0,0.0,partial,10001
107,1,72,2024-12-13 00:00:00,20,19,1,9.99,full,10001
108,1,162,2024-12-13 00:00:00,31,31,0,0.0,full,10001
109,1,86,2024-12-13 00:00:00,22,22,0,0.0,spot,10001
110,1,101,2024-12-13 00:00:00,24,24,0,0.0,partial,10001
111,1,59,2024-12-13 00:00:00,55,57,-2,-23.76,spot,10001
112,1,128,2024-12-13 00:00:00,24,24,0,0.0,partial,10001
113,1,113,2024-12-13 00:00:00,50,49,1,16.25,spot,10001
114,1,54,2024-12-13 00:00:00,11,11,0,0.0,full,10001
115,1,122,2024-12-13 00:00:00,40,41,-1,-2.77,partial,10001
116,1,106,2024-12-13 00:00:00,55,58,-3,-47.4,spot,10001
117,1,44,2024-12-13 00:00:00,55,56,-1,-14.45,partial,10001
118,1,108,2024-12-13 00:00:00,46,46,0,0.0,spot,10001
119,1,23,2024-12-13 00:00:00,30,30,0,0.0,spot,10001
120,1,154,2024-12-13 00:00:00,11,10,1,2.05,spot,10001
121,1,121,2024-12-27 00:00:00,37,37,0,0.0,partial,10001
122,1,6,2024-12-27 00:00:00,27,28,-1,-5.49,partial,10001
123,1,193,2024-12-27 00:00:00,23,22,1,2.27,partial,10001
124,1,98,2024-12-27 00:00:00,30,30,0,0.0,full,10001
125,1,101,2024-12-27 00:00:00,48,49,-1,-10.04,partial,10001
126,1,72,2024-12-27 00:00:00,29,29,0,0.0,spot,10001
127,1,99,2024-12-27 00:00:00,36,38,-2,-12.84,spot,10001
128,1,48,2024-12-27 00:00:00,23,23,0,0.0,spot,10001
129,1,77,2024-12-27 00:00:00,20,21,-1,-4.97,partial,10001
130,1,21,2024-12-27 00:00:00,19,20,-1,-4.09,partial,10001
131,1,67,2024-12-27 00:00:00,41,41,0,0.0,partial,10001
132,1,26,2024-12-27 00:00:00,40,42,-2,-7.38,full,10001
133,1,137,2024-12-27 00:00:00,22,21,1,13.06,partial,10001
134,1,185,2024-12-27 00:00:00,35,35,0,0.0,partial,10001
135,1,70,2024-12-27 00:00:00,54,54,0,0.0,full,10001
136,1,51,2024-12-27 00:00:00,11,11,0,0.0,partial,10001
137,1,186,2024-12-27 00:00:00,19,19,0,0.0,partial,10001
138,1,177,2024-12-27 00:00:00,36,36,0,0.0,spot,10001
139,1,64,2024-12-27 00:00:00,55,55,0,0.0,partial,10001
140,1,152,2024-12-27 00:00:00,17,17,0,0.0,partial,10001
141,1,10,2024-12-27 00:00:00,50,51,-1,-17.39,full,10001
142,1,103,2024-12-27 00:00:00,51,52,-1,-15.9,full,10001
143,1,81,2024-12-27 00:00:00,25,26,-1,-14.51,partial,10001
144,1,9,2024-12-27 00:00:00,52,53,-1,-4.03,partial,10001
145,1,162,2024-12-27 00:00:00,38,38,0,0.0,partial,10001
146,1,157,2024-12-27 00:00:00,12,13,-1,-11.84,spot,10001
147,1,18,2024-12-27 00:00:00,47,49,-2,-14.28,full,10001
148,1,143,2024-12-27 00:00:00,30,30,0,0.0,partial,10001
149,1,182,2024-12-27 00:00:00,39,41,-2,-26.44,spot,10001
150,1,19,2024-12-27 00:00:00,47,48,-1,-10.77,partial,10001
151,1,111,2025-01-10 00:00:00,22,22,0,0.0,partial,10001
152,1,5,2025-01-10 00:00:00,44,45,-1,-5.47,full,10001
153,1,129,2025-01-10 00:00:00,57,57,0,0.0,full,10001
154,1,169,2025-01-10 00:00:00,39,40,-1,-4.49,partial,10001
155,1,133,2025-01-10 00:00:00,13,13,0,0.0,partial,10001
156,1,141,2025-01-10 00:00:00,32,33,-1,-8.31,partial,10001
157,1,142,2025-01-10 00:00:00,57,59,-2,-6.84,partial,10001
158,1,30,2025-01-10 00:00:00,30,30,0,0.0,spot,10001
159,1,7,2025-01-10 00:00:00,35,35,0,0.0,partial,10001
160,1,154,2025-01-10 00:00:00,29,30,-1,-2.05,spot,10001
161,1,155,2025-01-10 00:00:00,36,37,-1,-17.21,partial,10001
162,1,149,2025-01-10 00:00:00,31,32,-1,-5.33,spot,10001
163,1,116,2025-01-10 00:00:00,53,56,-3,-8.91,spot,10001
164,1,105,2025-01-10 00:00:00,13,13,0,0.0,full,10001
165,1,95,2025-01-10 00:00:00,55,55,0,0.0,partial,10001
166,1,42,2025-01-10 00:00:00,16,17,-1,-15.59,spot,10001
167,1,168,2025-01-10 00:00:00,50,50,0,0.0,full,10001
168,1,76,2025-01-10 00:00:00,39,41,-2,-4.94,partial,10001
169,1,36,2025-01-10 00:00:00,37,37,0,0.0,partial,10001
170,1,22,2025-01-10 00:00:00,32,33,-1,-3.22,partial,10001
171,1,11,2025-01-10 00:00:00,46,46,0,0.0,spot,10001
172,1,1,2025-01-10 00:00:00,19,18,1,12.18,spot,10001
173,1,188,2025-01-10 00:00:00,12,12,0,0.0,spot,10001
174,1,38,2025-01-10 00:00:00,37,36,1,12.39,partial,10001
175,1,44,2025-01-10 00:00:00,53,54,-1,-14.45,partial,10001
176,1,60,2025-01-10 00:00:00,54,54,0,0.0,spot,10001
177,1,121,2025-01-10 00:00:00,17,18,-1,-17.44,partial,10001
178,1,72,2025-01-10 00:00:00,10,11,-1,-9.99,partial,10001
179,1,55,2025-01-10 00:00:00,22,22,0,0.0,spot,10001
180,1,159,2025-01-10 00:00:00,44,44,0,0.0,partial,10001
181,1,35,2025-01-24 00:00:00,41,42,-1,-9.78,partial,10001
182,1,52,2025-01-24 00:00:00,15,15,0,0.0,spot,10001
183,1,169,2025-01-24 00:00:00,43,44,-1,-4.49,spot,10001
184,1,196,2025-01-24 00:00:00,12,12,0,0.0,partial,10001
185,1,177,2025-01-24 00:00:00,38,39,-1,-1.01,partial,10001
186,1,26,2025-01-24 00:00:00,22,22,0,0.0,spot,10001
187,1,88,2025-01-24 00:00:00,13,13,0,0.0,full,10001
188,1,64,2025-01-24 00:00:00,29,31,-2,-6.84,partial,10001
189,1,112,2025-01-24 00:00:00,41,42,-1,-8.37,spot,10001
190,1,166,2025-01-24 00:00:00,56,56,0,0.0,spot,10001
191,1,16,2025-01-24 00:00:00,52,53,-1,-2.93,partial,10001
192,1,100,2025-01-24 00:00:00,49,50,-1,-0.72,partial,10001
193,1,171,2025-01-24 00:00:00,28,29,-1,-11.75,partial,10001
194,1,44,2025-01-24 00:00:00,44,45,-1,-14.45,full,10001
195,1,78,2025-01-24 00:00:00,27,26,1,15.71,partial,10001
196,1,148,2025-01-24 00:00:00,28,29,-1,-1.19,spot,10001
197,1,193,2025-01-24 00:00:00,24,24,0,0.0,spot,10001
198,1,10,2025-01-24 00:00:00,54,55,-1,-17.39,partial,10001
199,1,9,2025-01-24 00:00:00,43,44,-1,-4.03,partial,10001
200,1,24,2025-01-24 00:00:00,30,31,-1,-4.09,spot,10001
201,1,176,2025-01-24 00:00:00,32,31,1,15.47,full,10001
202,1,92,2025-01-24 00:00:00,30,32,-2,-19.74,spot,10001
203,1,50,2025-01-24 00:00:00,44,44,0,0.0,spot,10001
204,1,79,2025-01-24 00:00:00,57,58,-1,-5.3,spot,10001
205,1,21,2025-01-24 00:00:00,58,58,0,0.0,partial,10001
206,1,4,2025-01-24 00:00:00,52,53,-1,-6.14,partial,10001
207,1,83,2025-01-24 00:00:00,14,14,0,0.0,partial,10001
208,1,134,2025-01-24 00:00:00,29,29,0,0.0,spot,10001
209,1,81,2025-01-24 00:00:00,33,33,0,0.0,partial,10001
210,1,56,2025-01-24 00:00:00,19,19,0,0.0,partial,10001
211,1,179,2025-02-07 00:00:00,25,25,0,0.0,full,10001
212,1,23,2025-02-07 00:00:00,47,47,0,0.0,spot,10001
213,1,63,2025-02-07 00:00:00,23,24,-1,-5.02,partial,10001
214,1,170,2025-02-07 00:00:00,33,34,-1,-10.32,spot,10001
215,1,159,2025-02-07 00:00:00,42,42,0,0.0,partial,10001
216,1,11,2025-02-07 00:00:00,25,26,-1,-3.36,partial,10001
217,1,120,2025-02-07 00:00:00,52,53,-1,-3.41,partial,10001
218,1,29,2025-02-07 00:00:00,52,53,-1,-17.28,spot,10001
219,1,126,2025-02-07 00:00:00,51,51,0,0.0,full,10001
220,1,61,2025-02-07 00:00:00,23,23,0,0.0,partial,10001
221,1,13,2025-02-07 00:00:00,23,23,0,0.0,partial,10001
222,1,73,2025-02-07 00:00:00,20,20,0,0.0,spot,10001
223,1,101,2025-02-07 00:00:00,45,47,-2,-20.08,partial,10001
224,1,112,2025-02-07 00:00:00,15,16,-1,-8.37,partial,10001
225,1,68,2025-02-07 00:00:00,51,51,0,0.0,partial,10001
226,1,183,2025-02-07 00:00:00,57,58,-1,-10.83,spot,10001
227,1,86,2025-02-07 00:00:00,37,37,0,0.0,partial,10001
228,1,142,2025-02-07 00:00:00,46,47,-1,-3.42,partial,10001
229,1,74,2025-02-07 00:00:00,47,48,-1,-3.41,partial,10001
230,1,19,2025-02-07 00:00:00,33,33,0,0.0,partial,10001
231,1,17,2025-02-07 00:00:00,54,54,0,0.0,partial,10001
232,1,10,2025-02-07 00:00:00,37,38,-1,-17.39,partial,10001
233,1,6,2025-02-07 00:00:00,37,38,-1,-5.49,full,10001
234,1,154,2025-02-07 00:00:00,40,41,-1,-2.05,spot,10001
235,1,95,2025-02-07 00:00:00,51,52,-1,-11.64,spot,10001
236,1,199,2025-02-07 00:00:00,32,33,-1,-14.8,partial,10001
237,1,81,2025-02-07 00:00:00,9,9,0,0.0,spot,10001
238,1,59,2025-02-07 00:00:00,17,17,0,0.0,spot,10001
239,1,75,2025-02-07 00:00:00,24,24,0,0.0,partial,10001
240,1,132,2025-02-07 00:00:00,31,31,0,0.0,partial,10001
241,1,35,2025-02-21 00:00:00,19,19,0,0.0,partial,10001
242,1,188,2025-02-21 00:00:00,35,36,-1,-17.07,partial,10001
243,1,53,2025-02-21 00:00:00,22,22,0,0.0,partial,10001
244,1,26,2025-02-21 00:00:00,35,36,-1,-3.69,partial,10001
245,1,153,2025-02-21 00:00:00,38,39,-1,-2.07,spot,10001
246,1,163,2025-02-21 00:00:00,41,42,-1,-15.53,full,10001
247,1,33,2025-02-21 00:00:00,36,37,-1,-4.37,spot,10001
248,1,103,2025-02-21 00:00:00,42,43,-1,-15.9,spot,10001
249,1,142,2025-02-21 00:00:00,40,42,-2,-6.84,partial,10001
250,1,44,2025-02-21 00:00:00,11,11,0,0.0,partial,10001
251,1,93,2025-02-21 00:00:00,23,23,0,0.0,spot,10001
252,1,172,2025-02-21 00:00:00,23,22,1,2.85,full,10001
253,1,34,2025-02-21 00:00:00,44,45,-1,-16.68,spot,10001
254,1,84,2025-02-21 00:00:00,31,32,-1,-2.73,partial,10001
255,1,180,2025-02-21 00:00:00,55,56,-1,-8.14,full,10001
256,1,20,2025-02-21 00:00:00,35,36,-1,-4.22,partial,10001
257,1,79,2025-02-21 00:00:00,39,38,1,5.3,spot,10001
258,1,85,2025-02-21 00:00:00,57,59,-2,-11.7,spot,10001
259,1,64,2025-02-21 00:00:00,35,35,0,0.0,partial,10001
260,1,42,2025-02-21 00:00:00,39,40,-1,-15.59,partial,10001
261,1,63,2025-02-21 00:00:00,10,10,0,0.0,spot,10001
262,1,16,2025-02-21 00:00:00,12,12,0,0.0,spot,10001
263,1,109,2025-02-21 00:00:00,55,55,0,0.0,partial,10001
264,1,162,2025-02-21 00:00:00,54,56,-2,-11.44,spot,10001
265,1,157,2025-02-21 00:00:00,28,29,-1,-11.84,partial,10001
266,1,155,2025-02-21 00:00:00,39,39,0,0.0,partial,10001
267,1,167,2025-02-21 00:00:00,14,13,1,2.7,partial,10001
268,1,25,2025-02-21 00:00:00,36,38,-2,-14.28,partial,10001
269,1,54,2025-02-21 00:00:00,31,31,0,0.0,partial,10001
270,1,91,2025-02-21 00:00:00,20,21,-1,-7.75,partial,10001
271,1,16,2025-03-07 00:00:00,33,33,0,0.0,partial,10001
272,1,174,2025-03-07 00:00:00,24,24,0,0.0,spot,10001
273,1,101,2025-03-07 00:00:00,55,56,-1,-10.04,partial,10001
274,1,151,2025-03-07 00:00:00,19,19,0,0.0,partial,10001
275,1,172,2025-03-07 00:00:00,23,23,0,0.0,full,10001
276,1,92,2025-03-07 00:00:00,13,14,-1,-9.87,partial,10001
277,1,29,2025-03-07 00:00:00,59,59,0,0.0,partial,10001
278,1,180,2025-03-07 00:00:00,37,37,0,0.0,spot,10001
279,1,159,2025-03-07 00:00:00,9,9,0,0.0,spot,10001
280,1,82,2025-03-07 00:00:00,40,40,0,0.0,spot,10001
281,1,33,2025-03-07 00:00:00,38,38,0,0.0,spot,10001
282,1,18,2025-03-07 00:00:00,57,59,-2,-14.28,partial,10001
283,1,128,2025-03-07 00:00:00,28,28,0,0.0,spot,10001
284,1,153,2025-03-07 00:00:00,9,9,0,0.0,full,10001
285,1,80,2025-03-07 00:00:00,58,58,0,0.0,spot,10001
286,1,121,2025-03-07 00:00:00,17,17,0,0.0,spot,10001
287,1,46,2025-03-07 00:00:00,54,54,0,0.0,spot,10001
288,1,2,2025-03-07 00:00:00,30,30,0,0.0,spot,10001
289,1,69,2025-03-07 00:00:00,56,58,-2,-4.74,partial,10001
290,1,31,2025-03-07 00:00:00,54,55,-1,-13.24,spot,10001
291,1,134,2025-03-07 00:00:00,37,38,-1,-8.33,partial,10001
292,1,191,2025-03-07 00:00:00,15,15,0,0.0,spot,10001
293,1,38,2025-03-07 00:00:00,8,8,0,0.0,partial,10001
294,1,62,2025-03-07 00:00:00,49,49,0,0.0,full,10001
295,1,137,2025-03-07 00:00:00,37,37,0,0.0,spot,10001
296,1,11,2025-03-07 00:00:00,15,15,0,0.0,full,10001
297,1,167,2025-03-07 00:00:00,55,56,-1,-2.7,full,10001
298,1,156,2025-03-07 00:00:00,50,51,-1,-5.62,partial,10001
299,1,51,2025-03-07 00:00:00,52,53,-1,-8.78,spot,10001
300,1,154,2025-03-07 00:00:00,29,30,-1,-2.05,partial,10001
301,1,89,2025-03-21 00:00:00,17,17,0,0.0,full,10001
302,1,157,2025-03-21 00:00:00,49,50,-1,-11.84,spot,10001
303,1,135,2025-03-21 00:00:00,10,10,0,0.0,partial,10001
304,1,186,2025-03-21 00:00:00,12,11,1,2.77,full,10001
305,1,50,2025-03-21 00:00:00,23,23,0,0.0,spot,10001
306,1,199,2025-03-21 00:00:00,58,58,0,0.0,spot,10001
307,1,61,2025-03-21 00:00:00,24,24,0,0.0,full,10001
308,1,28,2025-03-21 00:00:00,13,14,-1,-2.95,spot,10001
309,1,172,2025-03-21 00:00:00,12,12,0,0.0,spot,10001
310,1,6,2025-03-21 00:00:00,31,32,-1,-5.49,spot,10001
311,1,49,2025-03-21 00:00:00,18,18,0,0.0,spot,10001
312,1,87,2025-03-21 00:00:00,43,44,-1,-10.53,partial,10001
313,1,149,2025-03-21 00:00:00,35,35,0,0.0,spot,10001
314,1,170,2025-03-21 00:00:00,47,48,-1,-10.32,partial,10001
315,1,82,2025-03-21 00:00:00,26,25,1,13.29,spot,10001
316,1,178,2025-03-21 00:00:00,18,18,0,0.0,full,10001
317,1,21,2025-03-21 00:00:00,51,50,1,4.09,partial,10001
318,1,19,2025-03-21 00:00:00,25,25,0,0.0,partial,10001
319,1,23,2025-03-21 00:00:00,11,10,1,4.38,spot,10001
320,1,175,2025-03-21 00:00:00,31,31,0,0.0,partial,10001
321,1,195,2025-03-21 00:00:00,24,25,-1,-3.51,partial,10001
322,1,192,2025-03-21 00:00:00,8,9,-1,-4.82,partial,10001
323,1,166,2025-03-21 00:00:00,45,45,0,0.0,partial,10001
324,1,198,2025-03-21 00:00:00,25,25,0,0.0,spot,10001
325,1,76,2025-03-21 00:00:00,41,41,0,0.0,partial,10001
326,1,127,2025-03-21 00:00:00,31,32,-1,-7.72,partial,10001
327,1,45,2025-03-21 00:00:00,43,46,-3,-51.96,spot,10001
328,1,56,2025-03-21 00:00:00,30,31,-1,-12.86,spot,10001
329,1,10,2025-03-21 00:00:00,39,40,-1,-17.39,full,10001
330,1,150,2025-03-21 00:00:00,18,17,1,8.22,spot,10001
331,1,78,2025-04-04 00:00:00,46,45,1,15.71,full,10001
332,1,86,2025-04-04 00:00:00,34,36,-2,-22.98,spot,10001
333,1,122,2025-04-04 00:00:00,58,59,-1,-2.77,spot,10001
334,1,5,2025-04-04 00:00:00,24,24,0,0.0,spot,10001
335,1,94,2025-04-04 00:00:00,29,30,-1,-17.22,partial,10001
336,1,108,2025-04-04 00:00:00,40,42,-2,-29.04,partial,10001
337,1,9,2025-04-04 00:00:00,10,11,-1,-4.03,partial,10001
338,1,65,2025-04-04 00:00:00,25,26,-1,-2.65,partial,10001
339,1,19,2025-04-04 00:00:00,37,38,-1,-10.77,partial,10001
340,1,156,2025-04-04 00:00:00,14,14,0,0.0,partial,10001
341,1,53,2025-04-04 00:00:00,27,27,0,0.0,spot,10001
342,1,174,2025-04-04 00:00:00,18,18,0,0.0,partial,10001
343,1,121,2025-04-04 00:00:00,17,17,0,0.0,spot,10001
344,1,66,2025-04-04 00:00:00,35,35,0,0.0,spot,10001
345,1,54,2025-04-04 00:00:00,26,26,0,0.0,spot,10001
346,1,177,2025-04-04 00:00:00,10,10,0,0.0,spot,10001
347,1,151,2025-04-04 00:00:00,54,54,0,0.0,partial,10001
348,1,96,2025-04-04 00:00:00,42,43,-1,-1.75,partial,10001
349,1,81,2025-04-04 00:00:00,39,40,-1,-14.51,partial,10001
350,1,6,2025-04-04 00:00:00,27,28,-1,-5.49,partial,10001
351,1,175,2025-04-04 00:00:00,31,31,0,0.0,partial,10001
352,1,32,2025-04-04 00:00:00,42,42,0,0.0,partial,10001
353,1,118,2025-04-04 00:00:00,32,33,-1,-8.4,spot,10001
354,1,79,2025-04-04 00:00:00,48,49,-1,-5.3,spot,10001
355,1,90,2025-04-04 00:00:00,56,57,-1,-11.58,partial,10001
356,1,24,2025-04-04 00:00:00,34,34,0,0.0,spot,10001
357,1,8,2025-04-04 00:00:00,34,34,0,0.0,spot,10001
358,1,50,2025-04-04 00:00:00,41,42,-1,-15.5,spot,10001
359,1,18,2025-04-04 00:00:00,50,52,-2,-14.28,partial,10001
360,1,158,2025-04-04 00:00:00,37,38,-1,-5.81,spot,10001
361,1,74,2025-04-18 00:00:00,48,49,-1,-3.41,spot,10001
362,1,96,2025-04-18 00:00:00,25,26,-1,-1.75,partial,10001
363,1,147,2025-04-18 00:00:00,29,29,0,0.0,partial,10001
364,1,73,2025-04-18 00:00:00,38,39,-1,-13.57,spot,10001
365,1,145,2025-04-18 00:00:00,53,54,-1,-17.91,spot,10001
366,1,56,2025-04-18 00:00:00,12,13,-1,-12.86,partial,10001
367,1,7,2025-04-18 00:00:00,17,18,-1,-17.56,partial,10001
368,1,5,2025-04-18 00:00:00,43,42,1,5.47,partial,10001
369,1,117,2025-04-18 00:00:00,41,42,-1,-9.2,partial,10001
370,1,173,2025-04-18 00:00:00,20,20,0,0.0,spot,10001
371,1,25,2025-04-18 00:00:00,36,36,0,0.0,spot,10001
372,1,112,2025-04-18 00:00:00,8,8,0,0.0,partial,10001
373,1,91,2025-04-18 00:00:00,18,19,-1,-7.75,spot,10001
374,1,148,2025-04-18 00:00:00,45,45,0,0.0,spot,10001
375,1,178,2025-04-18 00:00:00,43,44,-1,-16.57,partial,10001
376,1,100,2025-04-18 00:00:00,44,45,-1,-0.72,spot,10001
377,1,142,2025-04-18 00:00:00,26,27,-1,-3.42,spot,10001
378,1,70,2025-04-18 00:00:00,21,22,-1,-16.27,partial,10001
379,1,137,2025-04-18 00:00:00,43,43,0,0.0,spot,10001
380,1,90,2025-04-18 00:00:00,12,12,0,0.0,full,10001
381,1,101,2025-04-18 00:00:00,57,59,-2,-20.08,partial,10001
382,1,181,2025-04-18 00:00:00,15,16,-1,-9.21,partial,10001
383,1,67,2025-04-18 00:00:00,52,52,0,0.0,partial,10001
384,1,66,2025-04-18 00:00:00,50,50,0,0.0,spot,10001
385,1,45,2025-04-18 00:00:00,47,49,-2,-34.64,spot,10001
386,1,14,2025-04-18 00:00:00,18,18,0,0.0,partial,10001
387,1,156,2025-04-18 00:00:00,21,21,0,0.0,spot,10001
